date (yyyy-MM-dd HH:mm:ss),windAlg.Spd_2m_kt,windAlg.Dir_2m,windAlg.GustAv_10m_kt,windAlg.SpdX_2m_kt,ALgt_1m_cd/m2,windAlg.Spd_10m_kt,windAlg.Dir_10m,windAlg.DirCCw_10m,windAlg.DirCw_10m,windAlg.Peak_10m_kt,zenoAlg.AT_5m_C,zenoAlg.DP_5m_C,zenoAlg.RH_5m,baroAlg.QNH_1m_mb,baroAlg.QFE_1m_mb,baroAlg.BPLow_1m_mb,visiAlg.F_Vis_1m_m,visiAlg.F_Vis_10m_m,visiAlg.VisMn_10m_m,visiAlg.VisMx_10m_m,runway,touchdown.message,rollout.message,touchdown.edge,touchdown.center,ceilAlg.Base_30s_ft,ceilAlg.layer1_report,ceilAlg.layer2_report,ceilAlg.layer3_report,ceilAlg.layer4_report,visiAlg.PW_METAR,zenoAlg.AT_5m_C,zenoAlg.RH_5m,baroAlg.BPLow_1m_Mb,windAlg.Dir_2m,windAlg.Spd_2m_kt,ALgt_1m_cd/m2
2022-12-14 00:00:15,2.2,212,,2.0,4672,2.7,210,185.0,226.0,3.7,27.3,25.7,90.6,1009.8,1009.5,1009.4,6250,5000,5000,6520,,P2000,P2000,5,0,0,FEW003,SCT060,,,BR,27.3,90.6,,212,2.2,4672
2022-12-14 00:01:15,2.0,204,,1.9,4774,2.6,210,182.0,226.0,3.7,27.3,25.7,90.4,1009.8,1009.6,1009.4,6250,5000,5080,6520,,P2000,P2000,5,0,0,SCT060,,,,BR,27.3,90.4,,204,2.0,4774
2022-12-14 00:02:15,1.8,202,,1.8,4928,2.5,210,182.0,246.0,3.7,27.4,25.7,90.5,1009.8,1009.6,1009.4,6250,5000,5170,6520,,P2000,P2000,5,0,6071,SCT060,,,,BR,27.4,90.5,,202,1.8,4928
2022-12-14 00:03:15,1.4,210,,1.3,5098,2.3,210,156.0,262.0,3.7,27.4,25.7,90.1,1009.8,1009.6,1009.4,5660,6000,5450,6520,,P2000,P2000,5,0,6070,SCT060,,,,BR,27.4,90.1,,210,1.4,5098
2022-12-14 00:04:15,0.9,232,,0.7,5231,2.1,214,156.0,1.0,3.7,27.5,25.8,90.0,1009.8,1009.6,1009.4,5880,6000,5660,6520,,P2000,P2000,5,0,0,SCT060,,,,BR,27.5,90.0,,232,0.9,5231
2022-12-14 00:05:15,1.1,253,,0.5,5271,2.0,217,156.0,1.0,3.7,27.5,25.8,90.0,1009.8,1009.6,1009.4,5560,5000,5560,6250,,P2000,P2000,5,0,0,SCT060,,,,BR,27.5,90.0,,253,1.1,5271
2022-12-14 00:06:15,1.3,260,,0.4,5185,1.8,223,156.0,1.0,3.7,27.6,25.9,90.1,1009.8,1009.5,1009.4,5360,5000,5360,6250,,P2000,P2000,5,0,0,SCT060,,,,BR,27.6,90.1,,260,1.3,5185
2022-12-14 00:07:15,1.1,289,,0.2,5029,1.6,231,156.0,1.0,3.2,27.6,25.9,90.2,1009.8,1009.5,1009.4,5450,5000,5360,6250,,P2000,P2000,5,0,0,SCT060,,,,BR,27.6,90.2,,289,1.1,5029
2022-12-14 00:08:15,1.5,295,,0.4,4924,1.5,238,156.0,1.0,2.9,27.6,26.0,90.8,1009.8,1009.5,1009.4,5450,5000,5360,6250,,P2000,P2000,5,0,0,SCT060,,,,BR,27.6,90.8,,295,1.5,4924
2022-12-14 00:09:15,1.5,269,,0.3,4852,1.4,244,156.0,1.0,2.5,27.5,26.1,91.2,1009.8,1009.6,1009.4,5560,5000,5360,6250,,P2000,P2000,5,0,6234,SCT060,,,,BR,27.5,91.2,,269,1.5,4852
2022-12-14 00:10:15,1.2,292,,0.2,4714,1.3,256,156.0,1.0,2.3,27.5,26.1,91.5,1009.8,1009.6,1009.4,5450,5000,5360,6250,,P2000,P2000,5,0,6265,SCT060,,,,BR,27.5,91.5,,292,1.2,4714
2022-12-14 00:11:15,1.3,328,,1.0,4665,1.3,270,156.0,1.0,2.3,27.5,26.1,91.7,1009.8,1009.6,1009.5,5360,5000,5360,6250,,P2000,P2000,5,0,6265,SCT060,,,,BR,27.5,91.7,,328,1.3,4665
2022-12-14 00:12:15,1.3,329,,1.0,4691,1.2,283,156.0,10.0,2.3,27.5,26.1,91.9,1010.2,1009.7,1009.5,5360,5000,5360,5880,,P2000,P2000,5,0,6267,SCT060,,,,BR,27.5,91.9,,329,1.3,4691
2022-12-14 00:13:15,1.0,348,,0.9,4764,1.2,297,208.0,28.0,2.3,27.5,26.2,92.0,1010.2,1009.7,1009.5,5660,5000,5360,5880,,P2000,P2000,5,0,6266,SCT060,,,,BR,27.5,92.0,,348,1.0,4764
2022-12-14 00:14:15,0.9,6,,0.9,4946,1.2,308,208.0,30.0,2.3,27.6,26.2,91.8,1010.2,1009.7,1009.6,5660,5000,5360,5660,,P2000,P2000,5,0,6250,BKN065,,,,BR,27.6,91.8,,6,0.9,4946
2022-12-14 00:15:15,0.7,344,,0.6,5133,1.2,316,225.0,30.0,2.3,27.6,26.1,91.6,1010.2,1009.7,1009.6,5450,5000,5360,5660,,P2000,P2000,5,0,0,BKN065,,,,BR,27.6,91.6,,344,0.7,5133
2022-12-14 00:16:15,0.9,323,,0.6,5242,1.2,322,240.0,30.0,2.3,27.6,26.1,91.4,1010.2,1009.7,1009.6,5450,5000,5360,5660,,P2000,P2000,5,0,4891,BKN065,,,,BR,27.6,91.4,,323,0.9,5242
2022-12-14 00:17:15,1.1,332,,0.9,5350,1.1,325,240.0,30.0,2.3,27.6,26.1,91.3,1010.2,1009.7,1009.6,5450,5000,5360,5660,,P2000,P2000,5,0,4858,FEW049,BKN065,,,BR,27.6,91.3,,332,1.1,5350
