date (yyyy-MM-dd HH:mm:ss),windAlg.Spd_2m_kt,windAlg.Dir_2m,windAlg.GustAv_10m_kt,windAlg.SpdX_2m_kt,ALgt_1m_cd/m2,windAlg.Spd_10m_kt,windAlg.Dir_10m,windAlg.DirCCw_10m,windAlg.DirCw_10m,windAlg.Peak_10m_kt,zenoAlg.AT_5m_C,zenoAlg.DP_5m_C,zenoAlg.RH_5m,baroAlg.QNH_1m_mb,baroAlg.QFE_1m_mb,baroAlg.BPLow_1m_mb,visiAlg.F_Vis_1m_m,visiAlg.F_Vis_10m_m,visiAlg.VisMn_10m_m,visiAlg.VisMx_10m_m,runway,touchdown.message,rollout.message,touchdown.edge,touchdown.center,ceilAlg.Base_30s_ft,ceilAlg.layer1_report,ceilAlg.layer2_report,ceilAlg.layer3_report,ceilAlg.layer4_report,visiAlg.PW_METAR,zenoAlg.AT_5m_C,zenoAlg.RH_5m,baroAlg.BPLow_1m_Mb,windAlg.Dir_2m,windAlg.Spd_2m_kt,ALgt_1m_cd/m2
2023-01-16 00:00:15,5.2,275,,0.5,,4.2,277,257.0,305.0,6.9,26.9,25.4,92.1,1009.5,1009.0,1008.9,,,,,,,,,,,,,,,,26.9,92.1,,275,5.2,
2023-01-16 00:01:15,4.5,280,,0.0,,4.2,277,257.0,305.0,6.9,26.9,25.5,92.0,1009.5,1009.0,1008.9,,,,,,,,,,,,,,,,26.9,92.0,,280,4.5,
2023-01-16 00:02:15,3.9,276,,0.3,,4.2,277,257.0,305.0,6.9,27.0,25.5,91.9,1009.5,1009.0,1008.9,,,,,,,,,,,,,,,,27.0,91.9,,276,3.9,
2023-01-16 00:03:15,4.4,274,,0.5,,4.3,276,257.0,305.0,6.9,27.0,25.6,91.8,1009.5,1009.0,1008.9,,,,,,,,,,,,,,,,27.0,91.8,,274,4.4,
2023-01-16 00:04:15,5.0,273,,0.6,,4.5,274,257.0,298.0,6.9,27.0,25.5,91.5,1009.5,1009.0,1008.9,,,,,,,,,,,,,,,,27.0,91.5,,273,5.0,
2023-01-16 00:05:15,5.6,267,,1.3,,4.6,272,255.0,298.0,7.1,27.0,25.5,91.3,1009.5,1009.0,1008.9,,,,,,,,,,,,,,,,27.0,91.3,,267,5.6,
2023-01-16 00:06:15,5.3,268,,1.1,,4.7,272,252.0,292.0,7.1,27.0,25.5,90.9,1009.5,1009.0,1008.9,,,,,,,,,,,,,,,,27.0,90.9,,268,5.3,
2023-01-16 00:07:15,5.4,271,,0.8,,5.0,272,252.0,292.0,7.2,27.0,25.4,90.5,1009.5,1009.0,1008.9,,,,,,,,,,,,,,,,27.0,90.5,,271,5.4,
2023-01-16 00:08:15,6.2,267,,1.4,,5.1,272,252.0,292.0,7.4,27.0,25.4,90.3,1009.5,1009.0,1008.9,,,,,,,,,,,,,,,,27.0,90.3,,267,6.2,
2023-01-16 00:09:15,5.9,270,,1.0,,5.2,272,252.0,292.0,7.4,27.1,25.4,90.1,1009.5,1009.0,1008.9,,,,,,,,,,,,,,,,27.1,90.1,,270,5.9,
