date (yyyy-MM-dd HH:mm:ss),windAlg.Spd_2m_kt,windAlg.Dir_2m,windAlg.GustAv_10m_kt,windAlg.SpdX_2m_kt,ALgt_1m_cd/m2,windAlg.Spd_10m_kt,windAlg.Dir_10m,windAlg.DirCCw_10m,windAlg.DirCw_10m,windAlg.Peak_10m_kt,zenoAlg.AT_5m_C,zenoAlg.DP_5m_C,zenoAlg.RH_5m,baroAlg.QNH_1m_mb,baroAlg.QFE_1m_mb,baroAlg.BPLow_1m_mb,visiAlg.F_Vis_1m_m,visiAlg.F_Vis_10m_m,visiAlg.VisMn_10m_m,visiAlg.VisMx_10m_m,runway,touchdown.message,rollout.message,touchdown.edge,touchdown.center,ceilAlg.Base_30s_ft,ceilAlg.layer1_report,ceilAlg.layer2_report,ceilAlg.layer3_report,ceilAlg.layer4_report,visiAlg.PW_METAR,zenoAlg.AT_5m_C,zenoAlg.RH_5m,baroAlg.BPLow_1m_Mb,windAlg.Dir_2m,windAlg.Spd_2m_kt,ALgt_1m_cd/m2
2023-01-15 00:00:15,4.5,238,,3.0,3644,4.5,254,226.0,274.0,6.3,27.1,26.7,97.6,1008.5,1008.3,1008.2,20000,9999,19870,20000,,P2000,P2000,0,0,8622,SCT085,,,,None,27.1,97.6,,238,4.5,3644
2023-01-15 00:01:15,4.2,232,,3.1,3544,4.4,250,215.0,274.0,6.3,27.1,26.6,97.4,1008.5,1008.3,1008.2,20000,9999,19870,20000,,P2000,P2000,0,0,8540,SCT085,,,,None,27.1,97.4,,232,4.2,3544
2023-01-15 00:02:15,3.9,226,,3.2,3453,4.2,248,215.0,274.0,5.9,27.1,26.6,97.1,1008.5,1008.3,1008.2,20000,9999,19920,20000,,P2000,P2000,0,0,8458,SCT085,,,,None,27.1,97.1,,226,3.9,3453
2023-01-15 00:03:15,3.4,235,,2.4,3335,4.1,246,215.0,274.0,5.8,27.2,26.6,96.8,1008.8,1008.3,1008.3,20000,9999,20000,20000,,P2000,P2000,0,0,8507,SCT085,,,,None,27.2,96.8,,235,3.4,3335
2023-01-15 00:04:15,3.2,240,,2.1,3157,4.0,243,215.0,273.0,5.8,27.2,26.6,96.5,1008.8,1008.3,1008.3,20000,9999,20000,20000,,P2000,P2000,0,0,8441,BKN085,,,,None,27.2,96.5,,240,3.2,3157
2023-01-15 00:05:15,3.4,236,,2.4,2971,3.9,240,215.0,269.0,5.8,27.2,26.5,96.3,1008.8,1008.3,1008.3,20000,9999,20000,20000,,P2000,P2000,0,0,8442,BKN085,,,,None,27.2,96.3,,236,3.4,2971
2023-01-15 00:06:15,3.1,232,,2.3,2811,3.7,237,215.0,268.0,5.8,27.1,26.6,96.4,1008.8,1008.4,1008.3,20000,9999,20000,20000,,P2000,P2000,0,0,8376,BKN085,,,,None,27.1,96.4,,232,3.1,2811
2023-01-15 00:07:15,2.9,229,,2.3,2684,3.7,234,215.0,264.0,5.8,27.1,26.5,96.4,1008.8,1008.4,1008.3,19360,9999,19360,20000,,P2000,P2000,0,0,8343,BKN085,,,,None,27.1,96.4,,229,2.9,2684
2023-01-15 00:08:15,3.2,239,,2.1,2587,3.6,235,215.0,267.0,5.8,27.1,26.5,96.4,1008.8,1008.4,1008.3,19580,9999,19360,20000,,P2000,P2000,0,0,8360,BKN085,,,,None,27.1,96.4,,239,3.2,2587
2023-01-15 00:09:15,3.5,252,,1.6,2500,3.5,237,215.0,269.0,5.4,27.1,26.5,96.4,1008.8,1008.4,1008.3,19720,9999,19360,20000,,P2000,P2000,0,0,8392,BKN085,,,,None,27.1,96.4,,252,3.5,2500
2023-01-15 00:10:15,3.8,250,,1.9,2409,3.5,237,215.0,269.0,4.7,27.1,26.4,96.4,1008.8,1008.4,1008.4,20000,9999,19360,20000,,P2000,P2000,0,0,8343,BKN085,,,,None,27.1,96.4,,250,3.8,2409
2023-01-15 00:11:15,4.2,245,,2.4,2314,3.5,239,216.0,269.0,4.9,27.0,26.4,96.2,1008.8,1008.4,1008.4,19900,9999,19360,20000,,P2000,P2000,0,0,8327,BKN085,,,,None,27.0,96.2,,245,4.2,2314
2023-01-15 00:12:15,3.9,241,,2.5,2215,3.4,241,218.0,269.0,4.9,27.0,26.3,96.0,1008.8,1008.4,1008.4,19740,9999,19360,20000,,P2000,P2000,0,0,8327,BKN085,,,,None,27.0,96.0,,241,3.9,2215
2023-01-15 00:13:15,3.4,236,,2.4,2118,3.5,239,218.0,269.0,4.9,27.0,26.3,95.8,1008.8,1008.5,1008.4,19310,9999,19310,20000,,P2000,P2000,0,0,8294,BKN085,,,,None,27.0,95.8,,236,3.4,2118
2023-01-15 00:14:15,3.0,244,,1.8,2027,3.4,241,218.0,270.0,4.9,27.0,26.3,95.7,1008.8,1008.5,1008.4,19340,9999,19310,20000,,P2000,P2000,0,0,8294,BKN085,,,,None,27.0,95.7,,244,3.0,2027
2023-01-15 00:15:15,2.9,252,,1.4,1956,3.4,243,218.0,270.0,4.9,27.0,26.3,95.6,1008.8,1008.5,1008.4,19630,9999,19310,20000,,P2000,P2000,0,0,8294,BKN085,,,,None,27.0,95.6,,252,2.9,1956
2023-01-15 00:16:15,2.8,242,,1.7,1894,3.4,243,218.0,270.0,4.9,27.1,26.4,95.7,1008.8,1008.5,1008.4,18960,9999,18960,20000,,P2000,P2000,0,0,8245,BKN085,,,,None,27.1,95.7,,242,2.8,1894
2023-01-15 00:17:15,2.6,242,,1.6,1840,3.3,245,224.0,270.0,4.9,27.1,26.4,95.9,1008.8,1008.5,1008.4,18960,9999,18960,20000,,P2000,P2000,0,0,8245,BKN085,,,,None,27.1,95.9,,242,2.6,1840
2023-01-15 00:18:15,3.2,238,,2.1,1788,3.3,243,224.0,270.0,4.9,27.1,26.5,96.0,1008.8,1008.5,1008.4,19490,9999,18960,20000,,P2000,P2000,0,0,8261,BKN085,,,,None,27.1,96.0,,238,3.2,1788
2023-01-15 00:19:15,3.6,231,,2.7,1736,3.3,241,224.0,270.0,4.9,27.1,26.5,96.0,1008.8,1008.5,1008.4,18430,9999,18430,20000,,P2000,P2000,0,0,8278,BKN085,,,,None,27.1,96.0,,231,3.6,1736
2023-01-15 00:20:15,3.4,232,,2.5,1694,3.3,240,221.0,270.0,4.9,27.1,26.5,96.0,1008.8,1008.5,1008.4,18540,9999,18430,19900,,P2000,P2000,0,0,8261,OVC085,,,,None,27.1,96.0,,232,3.4,1694
2023-01-15 00:21:15,3.3,230,,2.5,1668,3.2,238,216.0,270.0,4.6,27.1,26.4,96.0,1008.8,1008.5,1008.4,18200,9999,18200,19740,,P2000,P2000,0,0,8278,OVC085,,,,None,27.1,96.0,,230,3.3,1668
