date (yyyy-MM-dd HH:mm:ss),windAlg.Spd_2m_kt,windAlg.Dir_2m,windAlg.GustAv_10m_kt,windAlg.SpdX_2m_kt,ALgt_1m_cd/m2,windAlg.Spd_10m_kt,windAlg.Dir_10m,windAlg.DirCCw_10m,windAlg.DirCw_10m,windAlg.Peak_10m_kt,zenoAlg.AT_5m_C,zenoAlg.DP_5m_C,zenoAlg.RH_5m,baroAlg.QNH_1m_mb,baroAlg.QFE_1m_mb,baroAlg.BPLow_1m_mb,visiAlg.F_Vis_1m_m,visiAlg.F_Vis_10m_m,visiAlg.VisMn_10m_m,visiAlg.VisMx_10m_m,runway,touchdown.message,rollout.message,touchdown.edge,touchdown.center,ceilAlg.Base_30s_ft,ceilAlg.layer1_report,ceilAlg.layer2_report,ceilAlg.layer3_report,ceilAlg.layer4_report,visiAlg.PW_METAR,zenoAlg.AT_5m_C,zenoAlg.RH_5m,baroAlg.BPLow_1m_Mb,windAlg.Dir_2m,windAlg.Spd_2m_kt,ALgt_1m_cd/m2
2023-02-26 00:00:15,9.9,277,,0.5,2444,9.0,269,249.0,285.0,13.1,25.9,25.3,96.2,1010.5,1010.1,1009.9,37500,9999,33330,37500,,M,M,,,0,FEW090,BKN140,,,None,25.9,96.2,,277,9.9,2444
2023-02-26 00:01:15,9.9,276,,0.7,2455,9.2,271,254.0,285.0,13.1,25.9,25.3,96.2,1010.5,1010.1,1009.9,33330,9999,33330,37500,,M,M,,,14256,FEW090,BKN140,,,None,25.9,96.2,,276,9.9,2455
2023-02-26 00:02:15,10.5,276,,0.7,2458,9.6,272,254.0,285.0,13.1,25.9,25.2,96.1,1010.5,1010.1,1009.9,30000,9999,30000,37500,,M,M,,,14401,BKN140,,,,None,25.9,96.1,,276,10.5,2458
2023-02-26 00:03:15,10.4,278,,0.4,2474,9.9,274,258.0,285.0,13.1,26.0,25.3,96.0,1010.5,1010.1,1009.9,25000,9999,25000,37500,,M,M,,,14617,BKN140,,,,None,26.0,96.0,,278,10.4,2474
2023-02-26 00:04:15,10.6,278,,0.4,2509,10.1,275,260.0,285.0,13.8,26.0,25.3,96.0,1010.5,1010.0,1009.9,25000,9999,25000,37500,,M,M,,,13990,BKN140,,,,None,26.0,96.0,,278,10.6,2509
2023-02-26 00:05:15,10.6,283,,0.6,2558,10.3,277,267.0,295.0,13.8,26.0,25.3,95.8,1010.2,1010.0,1009.8,21430,9999,21430,37500,,M,M,,,0,BKN140,,,,None,26.0,95.8,,283,10.6,2558
2023-02-26 00:06:15,9.2,292,,1.9,2630,10.2,279,267.0,303.0,13.8,26.0,25.3,95.8,1010.2,1010.0,1009.8,18750,9999,18750,37500,,M,M,,,0,BKN140,,,,None,26.0,95.8,,292,9.2,2630
2023-02-26 00:07:15,9.5,296,,2.6,2710,10.2,281,267.0,304.0,13.8,26.0,25.3,95.8,1010.2,1009.9,1009.7,17650,9999,17650,37500,,M,M,,,14270,BKN140,,,,None,26.0,95.8,,296,9.5,2710
2023-02-26 00:08:15,10.7,293,,2.4,2778,10.2,283,267.0,304.0,13.8,26.0,25.3,95.8,1010.2,1009.9,1009.7,15790,9999,15790,37500,,M,M,,,14225,BKN140,,,,None,26.0,95.8,,293,10.7,2778
2023-02-26 00:09:15,10.7,290,,1.9,2800,10.2,284,267.0,304.0,13.8,26.1,25.3,95.7,1010.2,1009.9,1009.7,15000,9999,15000,37500,,M,M,,,0,BKN140,,,,None,26.1,95.7,,290,10.7,2800
