date (yyyy-MM-dd HH:mm:ss),windAlg.Spd_2m_kt,windAlg.Dir_2m,windAlg.GustAv_10m_kt,windAlg.SpdX_2m_kt,ALgt_1m_cd/m2,windAlg.Spd_10m_kt,windAlg.Dir_10m,windAlg.DirCCw_10m,windAlg.DirCw_10m,windAlg.Peak_10m_kt,zenoAlg.AT_5m_C,zenoAlg.DP_5m_C,zenoAlg.RH_5m,baroAlg.QNH_1m_mb,baroAlg.QFE_1m_mb,baroAlg.BPLow_1m_mb,visiAlg.F_Vis_1m_m,visiAlg.F_Vis_10m_m,visiAlg.VisMn_10m_m,visiAlg.VisMx_10m_m,runway,touchdown.message,rollout.message,touchdown.edge,touchdown.center,ceilAlg.Base_30s_ft,ceilAlg.layer1_report,ceilAlg.layer2_report,ceilAlg.layer3_report,ceilAlg.layer4_report,visiAlg.PW_METAR,zenoAlg.AT_5m_C,zenoAlg.RH_5m,baroAlg.BPLow_1m_Mb,windAlg.Dir_2m,windAlg.Spd_2m_kt,ALgt_1m_cd/m2
2022-12-16 00:00:15,5.7,180,,5.6,3154,3.8,184,157.0,216.0,7.5,27.3,25.9,91.9,1007.1,1007.0,1006.9,8900,8000,8690,9340,,P2000,P2000,0,0,1753,SCT007,BKN013,BKN100,BKN120,BR,27.3,91.9,,180,5.7,3154
2022-12-16 00:01:15,5.5,180,,5.4,3187,3.9,185,163.0,216.0,7.5,27.3,25.9,91.9,1007.5,1007.0,1006.9,8580,8000,8580,9340,,P2000,P2000,0,0,442,SCT007,BKN017,BKN100,BKN120,BR,27.3,91.9,,180,5.5,3187
2022-12-16 00:02:15,4.9,179,,4.8,3185,4.0,185,160.0,216.0,7.5,27.3,25.9,92.0,1007.5,1007.0,1006.9,8640,8000,8580,9340,,P2000,P2000,0,0,0,SCT007,BKN019,BKN100,BKN120,BR,27.3,92.0,,179,4.9,3185
2022-12-16 00:03:15,3.6,184,,3.6,3246,4.1,184,160.0,216.0,7.5,27.3,25.8,92.0,1007.5,1007.0,1006.9,8760,8000,8580,9340,,P2000,P2000,0,0,11212,SCT007,SCT010,BKN019,BKN110,BR,27.3,92.0,,184,3.6,3246
2022-12-16 00:04:15,3.3,180,,3.2,3269,4.2,183,148.0,216.0,7.5,27.2,25.8,91.9,1007.5,1007.0,1007.0,8470,8000,8470,9340,,P2000,P2000,0,0,0,SCT007,BKN019,BKN110,,BR,27.2,91.9,,180,3.3,3269
2022-12-16 00:05:15,4.4,169,,4.1,3243,4.5,181,148.0,216.0,8.1,27.2,25.8,91.7,1007.5,1007.0,1007.0,11270,8000,8470,11270,,P2000,P2000,0,0,0,SCT007,BKN019,BKN110,,BR,27.2,91.7,,169,4.4,3243
2022-12-16 00:06:15,4.9,167,,4.5,3220,4.7,177,148.0,215.0,8.1,27.2,25.7,91.3,1007.5,1007.0,1007.0,13040,9000,8470,13040,,P2000,P2000,0,0,0,SCT007,SCT019,BKN110,,BR,27.2,91.3,,167,4.9,3220
2022-12-16 00:07:15,4.7,173,,4.5,3194,4.7,177,148.0,215.0,8.1,27.3,25.7,91.0,1007.5,1007.1,1007.0,12070,9000,8470,13040,,P2000,P2000,0,0,0,SCT007,SCT019,BKN110,,BR,27.3,91.0,,173,4.7,3194
2022-12-16 00:08:15,4.5,179,,4.4,3170,4.7,177,148.0,215.0,8.1,27.3,25.8,90.9,1007.5,1007.1,1007.0,11130,9000,8470,13040,,P2000,P2000,0,0,0,SCT007,SCT019,BKN110,,BR,27.3,90.9,,179,4.5,3170
2022-12-16 00:09:15,5.0,176,,4.9,3144,4.6,177,148.0,215.0,8.1,27.4,25.8,90.7,1007.5,1007.1,1007.0,10940,9000,8470,13040,,P2000,P2000,0,0,0,SCT007,BKN110,BKN150,,BR,27.4,90.7,,176,5.0,3144
