date (yyyy-MM-dd HH:mm:ss),windAlg.Spd_2m_kt,windAlg.Dir_2m,windAlg.GustAv_10m_kt,windAlg.SpdX_2m_kt,ALgt_1m_cd/m2,windAlg.Spd_10m_kt,windAlg.Dir_10m,windAlg.DirCCw_10m,windAlg.DirCw_10m,windAlg.Peak_10m_kt,zenoAlg.AT_5m_C,zenoAlg.DP_5m_C,zenoAlg.RH_5m,baroAlg.QNH_1m_mb,baroAlg.QFE_1m_mb,baroAlg.BPLow_1m_mb,visiAlg.F_Vis_1m_m,visiAlg.F_Vis_10m_m,visiAlg.VisMn_10m_m,visiAlg.VisMx_10m_m,runway,touchdown.message,rollout.message,touchdown.edge,touchdown.center,ceilAlg.Base_30s_ft,ceilAlg.layer1_report,ceilAlg.layer2_report,ceilAlg.layer3_report,ceilAlg.layer4_report,visiAlg.PW_METAR,zenoAlg.AT_5m_C,zenoAlg.RH_5m,baroAlg.BPLow_1m_Mb,windAlg.Dir_2m,windAlg.Spd_2m_kt,ALgt_1m_cd/m2
2022-12-13 00:00:15,2.6,182,,2.6,,2.2,204,157.0,263.0,3.7,28.5,25.5,83.3,1009.5,1009.1,1008.9,,,,,,,,,,,,,,,,28.5,83.3,,182,2.6,
2022-12-13 00:01:15,2.1,187,,2.1,,2.2,199,157.0,263.0,3.7,28.5,25.6,83.4,1009.5,1009.1,1008.9,,,,,,,,,,,,,,,,28.5,83.4,,187,2.1,
2022-12-13 00:02:15,1.4,170,,1.3,,2.1,191,115.0,1.0,3.7,28.6,25.5,83.1,1009.5,1009.1,1008.9,,,,,,,,,,,,,,,,28.6,83.1,,170,1.4,
2022-12-13 00:03:15,0.9,150,,0.7,,1.9,183,115.0,1.0,3.7,28.6,25.5,82.8,1009.5,1009.1,1009.0,,,,,,,,,,,,,,,,28.6,82.8,,150,0.9,
2022-12-13 00:04:15,0.9,153,,0.7,,1.8,179,1.0,231.0,3.7,28.6,25.5,82.6,1009.5,1009.1,1009.0,,,,,,,,,,,,,,,,28.6,82.6,,153,0.9,
2022-12-13 00:05:15,1.7,157,,1.4,,1.9,175,1.0,231.0,3.7,28.7,25.5,82.2,1009.5,1009.1,1009.0,,,,,,,,,,,,,,,,28.7,82.2,,157,1.7,
2022-12-13 00:06:15,2.6,154,,2.1,,2.0,169,1.0,231.0,3.7,28.8,25.4,81.7,1009.5,1009.2,1009.0,,,,,,,,,,,,,,,,28.8,81.7,,154,2.6,
2022-12-13 00:07:15,2.6,159,,2.2,,2.1,166,1.0,207.0,3.7,28.9,25.4,81.4,1009.5,1009.1,1009.0,,,,,,,,,,,,,,,,28.9,81.4,,159,2.6,
2022-12-13 00:08:15,2.3,169,,2.1,,2.0,165,1.0,207.0,3.6,29.0,25.6,81.3,1009.5,1009.1,1009.0,,,,,,,,,,,,,,,,29.0,81.3,,169,2.3,
2022-12-13 00:09:15,2.5,169,,2.3,,2.0,164,1.0,207.0,3.6,29.1,25.6,81.3,1009.5,1009.1,1008.9,,,,,,,,,,,,,,,,29.1,81.3,,169,2.5,
