date (yyyy-MM-dd HH:mm:ss),windAlg.Spd_2m_kt,windAlg.Dir_2m,windAlg.GustAv_10m_kt,windAlg.SpdX_2m_kt,ALgt_1m_cd/m2,windAlg.Spd_10m_kt,windAlg.Dir_10m,windAlg.DirCCw_10m,windAlg.DirCw_10m,windAlg.Peak_10m_kt,zenoAlg.AT_5m_C,zenoAlg.DP_5m_C,zenoAlg.RH_5m,baroAlg.QNH_1m_mb,baroAlg.QFE_1m_mb,baroAlg.BPLow_1m_mb,visiAlg.F_Vis_1m_m,visiAlg.F_Vis_10m_m,visiAlg.VisMn_10m_m,visiAlg.VisMx_10m_m,runway,touchdown.message,rollout.message,touchdown.edge,touchdown.center,ceilAlg.Base_30s_ft,ceilAlg.layer1_report,ceilAlg.layer2_report,ceilAlg.layer3_report,ceilAlg.layer4_report,visiAlg.PW_METAR,zenoAlg.AT_5m_C,zenoAlg.RH_5m,baroAlg.BPLow_1m_Mb,windAlg.Dir_2m,windAlg.Spd_2m_kt,ALgt_1m_cd/m2
2022-12-01 00:00:15,2.1,192,,2.1,4141,2.5,193,167.0,222.0,3.7,26.3,25.7,96.4,1008.1,1007.8,1007.8,7210,7000,6110,8540,,P2000,P2000,3,0,0,FEW011,,,,BR,26.3,96.4,,192,2.1,4141
2022-12-01 00:01:15,2.0,194,,2.0,4452,2.5,190,167.0,215.0,3.7,26.4,25.8,96.6,1008.1,1007.8,1007.8,7330,7000,7210,8540,,P2000,P2000,3,0,1098,FEW011,,,,BR,26.4,96.6,,194,2.0,4452
2022-12-01 00:02:15,1.8,184,,1.8,4453,2.5,189,167.0,215.0,3.7,26.4,25.9,96.6,1008.1,1007.8,1007.8,7420,7000,7210,8540,,P2000,P2000,3,0,1098,FEW011,,,,BR,26.4,96.6,,184,1.8,4453
2022-12-01 00:03:15,1.1,194,,1.1,4470,2.3,190,159.0,241.0,3.7,26.5,26.0,96.7,1008.1,1007.8,1007.8,7230,7000,7210,8540,,P2000,P2000,3,0,1065,FEW011,,,,BR,26.5,96.7,,194,1.1,4470
2022-12-01 00:04:15,0.6,210,,0.6,4565,2.0,191,157.0,1.0,3.7,26.6,26.0,96.6,1008.1,1007.8,1007.8,7040,7000,7040,8540,,P2000,P2000,3,0,639,SCT011,,,,BR,26.6,96.6,,210,0.6,4565
2022-12-01 00:05:15,0.7,223,,0.6,4607,1.8,195,157.0,1.0,3.7,26.6,26.1,96.5,1008.1,1007.8,1007.7,7290,7000,7040,8090,,P2000,P2000,3,0,1098,SCT011,,,,BR,26.6,96.5,,223,0.7,4607
2022-12-01 00:06:15,1.2,227,,1.0,4752,1.6,198,157.0,1.0,3.4,26.7,26.0,96.4,1008.1,1007.8,1007.7,7480,7000,7040,8090,,P2000,P2000,3,0,1081,SCT011,,,,BR,26.7,96.4,,227,1.2,4752
2022-12-01 00:07:15,1.2,232,,0.9,4974,1.4,204,157.0,1.0,3.1,26.7,26.0,96.1,1008.1,1007.8,1007.7,9270,7000,7040,9270,,P2000,P2000,3,0,1081,SCT011,,,,BR,26.7,96.1,,232,1.2,4974
2022-12-01 00:08:15,1.3,227,,1.0,5012,1.4,208,157.0,1.0,3.0,26.8,26.1,95.8,1008.1,1007.8,1007.7,9370,7000,7040,9370,,P2000,P2000,3,0,1096,SCT011,,,,BR,26.8,95.8,,227,1.3,5012
2022-12-01 00:09:15,1.7,233,,1.2,5006,1.4,214,157.0,1.0,3.0,26.8,26.1,95.4,1008.1,1007.8,1007.7,8160,7000,7040,9370,,P2000,P2000,3,0,1098,SCT011,,,,BR,26.8,95.4,,233,1.7,5006
2022-12-01 00:10:15,2.0,252,,0.9,4990,1.4,221,157.0,1.0,2.8,26.8,25.9,94.7,1008.1,1007.8,1007.7,9360,7000,7040,9370,,P2000,P2000,3,0,1081,BKN011,,,,BR,26.8,94.7,,252,2.0,4990
2022-12-01 00:11:15,1.9,258,,0.7,5175,1.3,228,157.0,1.0,2.8,26.9,25.9,94.3,1008.1,1007.8,1007.7,7880,7000,7040,9370,,P2000,P2000,3,0,426,BKN011,,,,BR,26.9,94.3,,258,1.9,5175
2022-12-01 00:12:15,1.3,253,,0.6,5333,1.3,235,157.0,1.0,2.8,26.9,25.9,94.0,1008.1,1007.8,1007.7,8120,8000,7040,9370,,P2000,P2000,3,0,1065,BKN011,,,,BR,26.9,94.0,,253,1.3,5333
2022-12-01 00:13:15,1.3,255,,0.5,5638,1.4,240,157.0,1.0,2.8,26.9,25.8,93.8,1008.1,1007.8,1007.7,8770,8000,7040,9370,,P2000,P2000,3,0,1065,FEW006,BKN011,,,BR,26.9,93.8,,255,1.3,5638
2022-12-01 00:14:15,1.8,253,,0.8,5688,1.5,243,164.0,278.0,3.2,26.9,25.8,93.7,1008.1,1007.8,1007.7,9750,8000,7290,9750,,P2000,P2000,3,0,983,FEW006,BKN011,,,BR,26.9,93.7,,253,1.8,5688
