date (yyyy-MM-dd HH:mm:ss),windAlg.Spd_2m_kt,windAlg.Dir_2m,windAlg.GustAv_10m_kt,windAlg.SpdX_2m_kt,ALgt_1m_cd/m2,windAlg.Spd_10m_kt,windAlg.Dir_10m,windAlg.DirCCw_10m,windAlg.DirCw_10m,windAlg.Peak_10m_kt,zenoAlg.AT_5m_C,zenoAlg.DP_5m_C,zenoAlg.RH_5m,baroAlg.QNH_1m_mb,baroAlg.QFE_1m_mb,baroAlg.BPLow_1m_mb,visiAlg.F_Vis_1m_m,visiAlg.F_Vis_10m_m,visiAlg.VisMn_10m_m,visiAlg.VisMx_10m_m,runway,touchdown.message,rollout.message,touchdown.edge,touchdown.center,ceilAlg.Base_30s_ft,ceilAlg.layer1_report,ceilAlg.layer2_report,ceilAlg.layer3_report,ceilAlg.layer4_report,visiAlg.PW_METAR,zenoAlg.AT_5m_C,zenoAlg.RH_5m,baroAlg.BPLow_1m_Mb,windAlg.Dir_2m,windAlg.Spd_2m_kt,ALgt_1m_cd/m2
2023-02-01 00:00:15,6.0,291,,1.1,2974,6.3,292,273.0,311.0,8.8,26.1,25.4,96.0,1007.5,1007.1,1006.9,27270,9999,27270,33330,,M,M,,,0,NCD,,,,None,26.1,96.0,,291,6.0,2974
2023-02-01 00:01:15,6.5,289,,1.0,3043,6.2,291,273.0,311.0,8.5,26.1,25.5,96.1,1007.5,1007.1,1006.9,30000,9999,27270,33330,,M,M,,,0,NCD,,,,None,26.1,96.1,,289,6.5,3043
2023-02-01 00:02:15,6.4,289,,1.0,3109,6.1,291,273.0,311.0,8.3,26.1,25.4,96.0,1007.5,1007.1,1006.9,27270,9999,27270,33330,,M,M,,,0,NCD,,,,None,26.1,96.0,,289,6.4,3109
2023-02-01 00:03:15,6.5,288,,0.9,3176,6.2,290,272.0,311.0,8.7,26.2,25.4,95.9,1007.5,1007.1,1006.9,27270,9999,27270,33330,,M,M,,,0,NCD,,,,None,26.2,95.9,,288,6.5,3176
2023-02-01 00:04:15,5.9,281,,0.1,3246,6.0,290,263.0,311.0,8.7,26.2,25.4,95.5,1007.5,1007.1,1007.0,27270,9999,27270,33330,,M,M,,,0,NCD,,,,None,26.2,95.5,,281,5.9,3246
2023-02-01 00:05:15,4.8,280,,0.0,3330,6.0,288,263.0,309.0,8.7,26.2,25.4,95.4,1007.5,1007.1,1007.0,25000,9999,25000,33330,,M,M,,,0,NCD,,,,None,26.2,95.4,,280,4.8,3330
2023-02-01 00:06:15,5.4,278,,0.2,3419,6.1,286,263.0,309.0,8.7,26.3,25.4,95.3,1007.5,1007.1,1007.0,25000,9999,25000,30000,,M,M,,,0,NCD,,,,None,26.3,95.3,,278,5.4,3419
2023-02-01 00:07:15,5.6,274,,0.6,3522,5.9,285,255.0,303.0,8.7,26.3,25.5,95.3,1007.5,1007.1,1007.0,27270,9999,25000,30000,,M,M,,,0,NCD,,,,None,26.3,95.3,,274,5.6,3522
2023-02-01 00:08:15,5.3,272,,0.7,3602,5.8,282,255.0,303.0,8.7,26.3,25.6,95.4,1007.5,1007.1,1007.0,27270,9999,25000,30000,,M,M,,,0,NCD,,,,None,26.3,95.4,,272,5.3,3602
2023-02-01 00:09:15,5.3,273,,0.6,3673,5.7,281,255.0,300.0,8.7,26.3,25.6,95.8,1007.5,1007.1,1007.0,27270,9999,25000,30000,,M,M,,,0,NCD,,,,None,26.3,95.8,,273,5.3,3673
2023-02-01 00:10:15,5.2,271,,0.8,3754,5.6,278,253.0,300.0,8.7,26.3,25.6,96.0,1007.5,1007.1,1006.9,27270,9999,25000,30000,,M,M,,,0,NCD,,,,None,26.3,96.0,,271,5.2,3754
2023-02-01 00:11:15,5.4,270,,0.9,3842,5.5,277,253.0,300.0,8.7,26.4,25.7,96.0,1007.5,1007.1,1006.9,27270,9999,25000,27270,,M,M,,,0,NCD,,,,None,26.4,96.0,,270,5.4,3842
2023-02-01 00:12:15,6.4,272,,0.9,3909,5.6,275,253.0,300.0,8.7,26.4,25.7,96.0,1007.5,1007.1,1006.9,27270,9999,25000,27270,,M,M,,,0,NCD,,,,None,26.4,96.0,,272,6.4,3909
2023-02-01 00:13:15,6.6,275,,0.6,3973,5.6,274,253.0,300.0,8.2,26.4,25.7,96.0,1007.5,1007.1,1006.9,25000,9999,25000,27270,,M,M,,,0,NCD,,,,None,26.4,96.0,,275,6.6,3973
2023-02-01 00:14:15,6.8,280,,0.0,4052,5.8,275,253.0,292.0,8.6,26.4,25.7,96.0,1007.5,1007.0,1006.9,25000,9999,25000,27270,,M,M,,,0,NCD,,,,None,26.4,96.0,,280,6.8,4052
2023-02-01 00:15:15,7.1,280,,0.0,4136,6.0,275,253.0,292.0,8.6,26.4,25.7,95.8,1007.5,1007.0,1006.9,25000,9999,25000,27270,,M,M,,,0,NCD,,,,None,26.4,95.8,,280,7.1,4136
2023-02-01 00:16:15,7.0,274,,0.7,4207,6.1,274,253.0,292.0,8.8,26.5,25.7,95.6,1007.5,1007.0,1006.9,23080,9999,23080,27270,,M,M,,,0,NCD,,,,None,26.5,95.6,,274,7.0,4207
2023-02-01 00:17:15,6.9,272,,1.0,4271,6.3,274,253.0,292.0,8.8,26.5,25.7,95.3,1007.5,1007.0,1006.9,20000,9999,20000,27270,,M,M,,,0,NCD,,,,None,26.5,95.3,,272,6.9,4271
2023-02-01 00:18:15,6.4,273,,0.8,4340,6.4,274,253.0,292.0,8.8,26.5,25.7,95.1,1007.5,1007.0,1006.9,18750,9999,18750,27270,,M,M,,,0,NCD,,,,None,26.5,95.1,,273,6.4,4340
2023-02-01 00:19:15,6.3,273,,0.8,4414,6.5,274,253.0,292.0,8.8,26.5,25.7,94.9,1007.5,1007.0,1006.9,17650,9999,17650,27270,,M,M,,,0,NCD,,,,None,26.5,94.9,,273,6.3,4414
2023-02-01 00:20:15,6.9,276,,0.5,4472,6.7,275,256.0,292.0,9.1,26.5,25.7,94.9,1007.5,1007.0,1006.8,17650,9999,17650,27270,,M,M,,,0,NCD,,,,None,26.5,94.9,,276,6.9,4472
2023-02-01 00:21:15,7.8,277,,0.4,4532,6.9,275,256.0,292.0,9.2,26.5,25.7,94.8,1007.5,1007.0,1006.8,16670,9999,16670,27270,,M,M,,,0,NCD,,,,None,26.5,94.8,,277,7.8,4532
2023-02-01 00:22:15,7.8,277,,0.4,4601,7.0,276,256.0,292.0,9.2,26.5,25.7,94.7,1007.5,1007.0,1006.8,16670,9999,16670,25000,,M,M,,,0,NCD,,,,None,26.5,94.7,,277,7.8,4601
2023-02-01 00:23:15,6.9,280,,0.0,4663,7.0,276,256.0,294.0,9.2,26.6,25.6,94.5,1007.1,1006.9,1006.8,15790,9999,15790,25000,,M,M,,,0,NCD,,,,None,26.6,94.5,,280,6.9,4663
2023-02-01 00:24:15,6.6,278,,0.2,4725,7.0,275,256.0,294.0,9.2,26.6,25.7,94.4,1007.1,1006.9,1006.8,15790,9999,15790,25000,,M,M,,,0,NCD,,,,None,26.6,94.4,,278,6.6,4725
2023-02-01 00:25:15,6.8,268,,1.4,4790,6.9,274,253.0,294.0,9.2,26.6,25.6,94.2,1007.1,1006.9,1006.8,15790,9999,15790,23080,,M,M,,,0,NCD,,,,None,26.6,94.2,,268,6.8,4790
